date,CRSP_STAY_HEDGED_2023_Q1,meta
2023-03-13 15:00:00,-76.7606052620032,
2023-03-13 15:30:30,-76.7606052620032,
2023-03-13 23:59:59,-76.7606052620032,c
2023-03-14 00:00:00,-76.7606052620032,
2023-03-14 10:00:00,-76.7606052620032,
2023-03-14 10:30:00,-76.7606052620032,
2023-03-14 12:00:00,-76.7606052620032,
2023-03-14 13:30:00,-76.7606052620032,
2023-03-14 15:00:00,-76.7606052620032,
2023-03-14 15:30:30,-76.7606052620032,
2023-03-14 23:59:59,-76.7606052620032,c
2023-03-15 00:00:00,-76.7606052620032,
2023-03-15 10:00:00,-76.7606052620032,
2023-03-15 10:30:00,-76.7606052620032,
2023-03-15 12:00:00,-76.7606052620032,
2023-03-15 13:30:00,-76.7606052620032,
2023-03-15 15:00:00,-76.7606052620032,
2023-03-15 15:30:30,-76.7606052620032,
2023-03-15 23:59:59,-76.7606052620032,c
2023-03-16 00:00:00,-76.7606052620032,
2023-03-16 10:00:00,-76.7606052620032,
2023-03-16 10:30:00,-76.7606052620032,
2023-03-16 12:00:00,-76.7606052620032,
2023-03-16 13:30:00,-76.7606052620032,
2023-03-16 15:00:00,-76.7606052620032,
2023-03-16 15:30:30,-76.7606052620032,
2023-03-16 23:59:59,-76.7606052620032,c
2023-03-17 00:00:00,-76.7606052620032,
2023-03-17 10:00:00,-76.7606052620032,
2023-03-17 10:30:00,-76.7606052620032,
2023-03-17 12:00:00,-76.7606052620032,
2023-03-17 13:30:00,-76.7606052620032,
2023-03-17 15:00:00,-76.7606052620032,
2023-03-17 15:30:30,-76.7606052620032,
2023-03-17 23:59:59,-76.7606052620032,e
2023-03-20 00:00:00,-76.7606052620032,
2023-03-20 10:00:00,-76.7606052620032,
2023-03-20 10:30:00,-76.7606052620032,
2023-03-20 12:00:00,-76.7606052620032,
2023-03-20 13:30:00,-76.7606052620032,
2023-03-20 15:00:00,-76.7606052620032,
2023-03-20 15:30:30,-76.7606052620032,
2023-03-20 23:59:59,-76.7606052620032,c
2023-03-21 00:00:00,-76.7606052620032,
2023-03-21 10:00:00,-76.7606052620032,
2023-03-21 10:30:00,-76.7606052620032,
2023-03-21 12:00:00,-76.7606052620032,
2023-03-21 13:30:00,-76.7606052620032,
2023-03-21 15:00:00,-76.7606052620032,
2023-03-21 15:30:30,-76.7606052620032,
2023-03-21 23:59:59,-76.7606052620032,c
2023-03-22 00:00:00,-76.7606052620032,
2023-03-22 10:00:00,-76.7606052620032,
2023-03-22 10:30:00,-76.7606052620032,
2023-03-22 12:00:00,-76.7606052620032,
2023-03-22 13:30:00,-76.7606052620032,
2023-03-22 15:00:00,-76.7606052620032,
2023-03-22 15:30:30,-76.7606052620032,
2023-03-22 23:59:59,-76.7606052620032,c
2023-03-23 00:00:00,-76.7606052620032,
2023-03-23 10:00:00,-76.7606052620032,
2023-03-23 10:30:00,-76.7606052620032,
2023-03-23 12:00:00,-76.7606052620032,
2023-03-23 13:30:00,-76.7606052620032,
2023-03-23 15:00:00,-76.7606052620032,
2023-03-23 15:30:30,-76.7606052620032,
2023-03-23 23:59:59,-76.7606052620032,c
2023-03-24 00:00:00,-76.7606052620032,
2023-03-24 10:00:00,-76.7606052620032,
2023-03-24 10:30:00,-76.7606052620032,
2023-03-24 12:00:00,-76.7606052620032,
2023-03-24 13:30:00,-76.7606052620032,
2023-03-24 15:00:00,-76.7606052620032,
2023-03-24 15:30:30,-76.7606052620032,
2023-03-24 23:59:59,-76.7606052620032,w
2023-03-27 00:00:00,-76.7606052620032,
2023-03-27 10:00:00,-76.7606052620032,
2023-03-27 10:30:00,-76.7606052620032,
2023-03-27 12:00:00,-76.7606052620032,
2023-03-27 13:30:00,-76.7606052620032,
2023-03-27 15:00:00,-76.7606052620032,
2023-03-27 15:30:30,-76.7606052620032,
2023-03-27 23:59:59,-76.7606052620032,c
2023-03-28 00:00:00,-76.7606052620032,
2023-03-28 10:00:00,-76.7606052620032,
2023-03-28 10:30:00,-76.7606052620032,
2023-03-28 12:00:00,-76.7606052620032,
2023-03-28 13:30:00,-76.7606052620032,
2023-03-28 15:00:00,-76.7606052620032,
2023-03-28 15:30:30,-76.7606052620032,
2023-03-28 23:59:59,-76.7606052620032,c
2023-03-29 00:00:00,-76.7606052620032,
2023-03-29 10:00:00,-76.7606052620032,
2023-03-29 10:30:00,-76.7606052620032,
2023-03-29 12:00:00,-76.7606052620032,
2023-03-29 13:30:00,-76.7606052620032,
2023-03-29 15:00:00,-76.7606052620032,
2023-03-29 15:30:30,-76.7606052620032,
2023-03-29 23:59:59,-76.7606052620032,c
2023-03-30 00:00:00,-76.7606052620032,
2023-03-30 10:00:00,-76.7606052620032,
2023-03-30 10:30:00,-76.7606052620032,
2023-03-30 12:00:00,-76.7606052620032,
2023-03-30 13:30:00,-76.7606052620032,
2023-03-30 15:00:00,-76.7606052620032,
2023-03-30 15:30:30,-76.7606052620032,
2023-03-30 23:59:59,-76.7606052620032,c
2023-03-31 00:00:00,-76.7606052620032,
2023-03-31 10:00:00,-76.7606052620032,
2023-03-31 10:30:00,-76.7606052620032,
2023-03-31 12:00:00,-76.7606052620032,
2023-03-31 13:30:00,-76.7606052620032,
2023-03-31 15:00:00,-76.7606052620032,
2023-03-31 15:30:30,-76.7606052620032,
2023-03-31 23:59:59,-76.7606052620032,w
2023-04-03 00:00:00,-76.7606052620032,
2023-04-03 10:00:00,-76.7606052620032,
2023-04-03 10:30:00,-76.7606052620032,
2023-04-03 12:00:00,-76.7606052620032,
2023-04-03 13:30:00,-76.7606052620032,
2023-04-03 15:00:00,-76.7606052620032,
2023-04-03 15:30:30,-76.7606052620032,
2023-04-03 23:59:59,-76.7606052620032,c
2023-04-04 00:00:00,-76.7606052620032,
2023-04-04 10:00:00,-76.7606052620032,
2023-04-04 10:30:00,-76.7606052620032,
2023-04-04 12:00:00,-76.7606052620032,
2023-04-04 13:30:00,-76.7606052620032,
2023-04-04 15:00:00,-76.7606052620032,
2023-04-04 15:30:30,-76.7606052620032,
2023-04-04 23:59:59,-76.7606052620032,c
2023-04-05 00:00:00,-76.7606052620032,
2023-04-05 10:00:00,-76.7606052620032,
2023-04-05 10:30:00,-76.7606052620032,
2023-04-05 12:00:00,-76.7606052620032,
2023-04-05 13:30:00,-76.7606052620032,
2023-04-05 15:00:00,-76.7606052620032,
2023-04-05 15:30:30,-76.7606052620032,
2023-04-05 23:59:59,-76.7606052620032,c
2023-04-06 00:00:00,-76.7606052620032,
2023-04-06 10:00:00,-76.7606052620032,
2023-04-06 10:30:00,-76.7606052620032,
2023-04-06 12:00:00,-76.7606052620032,
2023-04-06 13:30:00,-76.7606052620032,
2023-04-06 15:00:00,-76.7606052620032,
2023-04-06 15:30:30,-76.7606052620032,
2023-04-06 23:59:59,-76.7606052620032,c
2023-04-07 00:00:00,-76.7606052620032,
2023-04-07 10:00:00,-76.7606052620032,
2023-04-07 10:30:00,-76.7606052620032,
2023-04-07 12:00:00,-76.7606052620032,
2023-04-07 13:30:00,-76.7606052620032,
2023-04-07 15:00:00,-76.7606052620032,
2023-04-07 15:30:30,-76.7606052620032,
2023-04-07 23:59:59,-76.7606052620032,w
2023-04-10 00:00:00,-76.7606052620032,
2023-04-10 10:00:00,-76.7606052620032,
2023-04-10 10:30:00,-76.7606052620032,
2023-04-10 12:00:00,-76.7606052620032,
2023-04-10 13:30:00,-76.7606052620032,
2023-04-10 15:00:00,-76.7606052620032,
2023-04-10 15:30:30,-76.7606052620032,
2023-04-10 23:59:59,-76.7606052620032,c
2023-04-11 00:00:00,-76.7606052620032,
2023-04-11 10:00:00,-76.7606052620032,
2023-04-11 10:30:00,-76.7606052620032,
2023-04-11 12:00:00,-76.7606052620032,
2023-04-11 13:30:00,-76.7606052620032,
2023-04-11 15:00:00,-76.7606052620032,
2023-04-11 15:30:30,-76.7606052620032,
2023-04-11 23:59:59,-76.7606052620032,c
2023-04-12 00:00:00,-76.7606052620032,
2023-04-12 10:00:00,-76.7606052620032,
2023-04-12 10:30:00,-76.7606052620032,
2023-04-12 12:00:00,-76.7606052620032,
2023-04-12 13:30:00,-76.7606052620032,
2023-04-12 15:00:00,-76.7606052620032,
2023-04-12 15:30:30,-76.7606052620032,
2023-04-12 23:59:59,-76.7606052620032,c
2023-04-13 00:00:00,-76.7606052620032,
2023-04-13 10:00:00,-76.7606052620032,
2023-04-13 10:30:00,-76.7606052620032,
2023-04-13 12:00:00,-76.7606052620032,
2023-04-13 13:30:00,-76.7606052620032,
2023-04-13 15:00:00,-76.7606052620032,
2023-04-13 15:30:30,-76.7606052620032,
2023-04-13 23:59:59,-76.7606052620032,c
2023-04-14 00:00:00,-76.7606052620032,
2023-04-14 10:00:00,-76.7606052620032,
2023-04-14 10:30:00,-76.7606052620032,
2023-04-14 12:00:00,-76.7606052620032,
2023-04-14 13:30:00,-76.7606052620032,
2023-04-14 15:00:00,-76.7606052620032,
2023-04-14 15:30:30,-76.7606052620032,
2023-04-14 23:59:59,-76.7606052620032,w
